date,stkcd,weight
2024-03-01,2,0.0004473932796341864
2024-03-01,10,0.0004559344240635663
2024-03-01,11,0.0004567649057103124
2024-03-01,12,0.0003896875419346721
2024-03-01,16,0.000379370549523391
2024-03-01,19,0.0004493977298117589
2024-03-01,25,0.00043611118823471556
2024-03-01,36,0.0003939731865435372
2024-03-01,42,0.00038549413256719665
2024-03-01,58,0.0003939731865435372
2024-03-01,63,0.0004094105032407534
2024-03-01,65,0.00041586058579595595
2024-03-01,70,0.0004094105032407534
2024-03-01,78,0.0003896875419346721
2024-03-01,90,0.00040315744893080623
2024-03-01,153,0.0004485937982736341
2024-03-01,156,0.00045264247876346833
2024-03-01,159,0.00045510695686925857
2024-03-01,400,0.00045101426840820404
2024-03-01,408,0.0004372518452222519
2024-03-01,409,0.0004094105032407534
2024-03-01,419,0.0004518269067296603
2024-03-01,420,0.0003896875419346721
2024-03-01,426,0.000380521901722248
2024-03-01,430,0.00038226209334597783
2024-03-01,513,0.00042646927420911804
2024-03-01,519,0.00041759189547870354
2024-03-01,526,0.0004210981246598849
2024-03-01,531,0.00041968859118821994
2024-03-01,536,0.00041586058579595595
2024-03-01,539,0.000431607458235734
2024-03-01,551,0.00041759189547870354
2024-03-01,552,0.00044304581843632765
2024-03-01,553,0.0004502045479981354
2024-03-01,555,0.00044304581843632765
2024-03-01,573,0.0004534610004248851
2024-03-01,581,0.00044304581843632765
2024-03-01,597,0.0004372518452222519
2024-03-01,612,0.0004117634371674244
2024-03-01,615,0.0003782261436424758
2024-03-01,617,0.0004186376180884164
2024-03-01,619,0.0004144858400577875
2024-03-01,625,0.0004094105032407534
2024-03-01,627,0.0003939731865435372
2024-03-01,635,0.0004067541496106431
2024-03-01,651,0.00040315744893080623
2024-03-01,652,0.0004403229731957181
2024-03-01,665,0.00038168026367574044
2024-03-01,669,0.0004134607308078507
2024-03-01,676,0.00039930562617032075
2024-03-01,678,0.00039181864567962727
2024-03-01,680,0.00042719579767455104
2024-03-01,703,0.0004301268151543078
2024-03-01,709,0.00040315744893080623
2024-03-01,717,0.0003970925308550459
2024-03-01,722,0.00042430445555831044
2024-03-01,723,0.0003939731865435372
2024-03-01,725,0.00041586058579595595
2024-03-01,727,0.0004002616651795075
2024-03-01,731,0.0003939731865435372
2024-03-01,733,0.0003869813784490146
2024-03-01,738,0.000427924800742255
2024-03-01,758,0.0004094105032407534
2024-03-01,761,0.0003896875419346721
2024-03-01,768,0.0003986708000555826
2024-03-01,777,0.0004403229731957181
2024-03-01,782,0.0004067541496106431
2024-03-01,785,0.0004353540507551414
2024-03-01,789,0.0004454066309679599
2024-03-01,791,0.0004232302670632261
2024-03-01,795,0.0003846072595628244
2024-03-01,799,0.0003939731865435372
2024-03-01,800,0.00043422326101292023
2024-03-01,801,0.00043309833028490753
2024-03-01,807,0.0003834310905733356
2024-03-01,810,0.00041968859118821994
2024-03-01,811,0.00043422326101292023
2024-03-01,823,0.000396151553293778
2024-03-01,829,0.00042865629612813923
2024-03-01,831,0.00041244067966276555
2024-03-01,839,0.0003840182744792672
2024-03-01,856,0.0004461991694572268
2024-03-01,858,0.0003799453533863052
2024-03-01,860,0.0004012222931759383
2024-03-01,875,0.0004446169028988678
2024-03-01,876,0.000382845699595361
2024-03-01,878,0.00044148579794887584
2024-03-01,885,0.00042538411066151224
2024-03-01,887,0.00043916625785457347
2024-03-01,890,0.0004134607308078507
2024-03-01,895,0.00042538411066151224
2024-03-01,900,0.00038549413256719665
2024-03-01,901,0.00043235160902579565
2024-03-01,902,0.0004210981246598849
2024-03-01,910,0.0004301268151543078
2024-03-01,915,0.0003912073841419056
2024-03-01,923,0.00040315744893080623
2024-03-01,927,0.0003811002024847438
2024-03-01,928,0.00040543885729177277
2024-03-01,929,0.00043839848467650607
2024-03-01,930,0.00040315744893080623
2024-03-01,932,0.0003869813784490146
2024-03-01,935,0.0003970925308550459
2024-03-01,950,0.0004301268151543078
2024-03-01,958,0.0004232302670632261
2024-03-01,959,0.0004094105032407534
2024-03-01,961,0.0004473932796341864
2024-03-01,963,0.0003787974822280385
2024-03-01,966,0.0003869813784490146
2024-03-01,970,0.0003980379892618435
2024-03-01,978,0.00038817946321201464
2024-03-01,988,0.0004221615037625614
2024-03-01,997,0.00040543885729177277
2024-03-01,1203,0.002786265924832905
2024-03-01,1222,0.0007507902192663516
2024-03-01,1226,0.0002932911499824111
2024-03-01,1228,0.0005369677371198318
2024-03-01,1230,0.0004995297474800029
2024-03-01,1236,0.0015197814135452209
2024-03-01,1255,0.0002950163920411311
2024-03-01,1287,0.0007268519803911926
2024-03-01,1296,0.0005942273299406669
2024-03-01,1301,0.0014926424597319135
2024-03-01,1322,0.0007598907067726104
2024-03-01,1323,0.0015384290382512975
2024-03-01,1328,0.0005290378338290325
2024-03-01,1333,0.0006870244746163328
2024-03-01,1339,0.00026877163262053745
2024-03-01,1360,0.0009219262251285347
2024-03-01,1380,0.0004002616651795075
2024-03-01,1896,0.0004542824877444954
2024-03-01,2006,0.00026039868456382285
2024-03-01,2028,0.003980379892618436
2024-03-01,2029,0.0030580967467678227
2024-03-01,2035,0.0008737419276479493
2024-03-01,2045,0.00029466972178021324
2024-03-01,2047,0.0009253281669186769
2024-03-01,2048,0.001104686930550491
2024-03-01,2052,0.004179398887249357
2024-03-01,2056,0.0009085649754889909
2024-03-01,2060,0.0008617317293297645
2024-03-01,2062,0.0021432814806406964
2024-03-01,2078,0.0033887018004724523
2024-03-01,2090,0.0003402495701966913
2024-03-01,2102,0.0010111448920764575
2024-03-01,2103,0.000352691889219355
2024-03-01,2120,0.0004822383331441567
2024-03-01,2121,0.00030844272230622565
2024-03-01,2122,0.0004643776541388175
2024-03-01,2125,0.00034925338890663156
2024-03-01,2136,0.0014664557499120554
2024-03-01,2154,0.002411191665720783
2024-03-01,2156,0.00029817352346606595
2024-03-01,2158,0.00036133131590052086
2024-03-01,2172,0.003482832406041131
2024-03-01,2183,0.0008767969693530121
2024-03-01,2190,0.0006348454005948392
2024-03-01,2191,0.0036342599019559634
2024-03-01,2196,0.00031345491654370184
2024-03-01,2198,0.0006253464669201034
2024-03-01,2200,0.0033435191097994864
2024-03-01,2207,0.00032908652655506753
2024-03-01,2211,0.00027647622186875574
2024-03-01,2213,0.00026705424199676407
2024-03-01,2216,0.0026396203498416995
2024-03-01,2219,0.0006027979164301958
2024-03-01,2226,0.001638979955784062
2024-03-01,2229,0.00025853284523425066
2024-03-01,2235,0.00035022895703206905
2024-03-01,2238,0.0002836696077318569
2024-03-01,2242,0.0007226626318010417
2024-03-01,2243,0.0006146174834190232
2024-03-01,2251,0.0003765224222747169
2024-03-01,2259,0.004912124059450763
2024-03-01,2263,0.0011398360601589156
2024-03-01,2270,0.004912124059450763
2024-03-01,2272,0.0002598589981709445
2024-03-01,2281,0.00025853284523425066
2024-03-01,2284,0.0003425736792827342
2024-03-01,2287,0.0006176451557511366
2024-03-01,2288,0.00029995685793655674
2024-03-01,2293,0.004912124059450763
2024-03-01,2302,0.002817572283538893
2024-03-01,2306,0.00025853284523425066
2024-03-01,2307,0.0018854431070297853
2024-03-01,2309,0.002279672120317831
2024-03-01,2327,0.004912124059450763
2024-03-01,2328,0.0005764688120343942
2024-03-01,2353,0.0013931329624164526
2024-03-01,2355,0.0003178250104372135
2024-03-01,2356,0.0011772954611970023
2024-03-01,2358,0.0005956387962825688
2024-03-01,2369,0.00030322120100962686
2024-03-01,2378,0.00030543719029836966
2024-03-01,2379,0.002219149851636827
2024-03-01,2387,0.0004687176322148812
2024-03-01,2391,0.0010319503425307054
2024-03-01,2395,0.0003050656122079823
2024-03-01,2397,0.00029090943530737993
2024-03-01,2412,0.0007485490544327207
2024-03-01,2418,0.0009052849575269367
2024-03-01,2424,0.00447792737919574
2024-03-01,2426,0.0005900327840822622
2024-03-01,2430,0.0003644824610973277
2024-03-01,2441,0.0005535627665230938
2024-03-01,2442,0.00028889854059327354
2024-03-01,2449,0.00029363458224234367
2024-03-01,2468,0.0009020285368164081
2024-03-01,2470,0.0006364566833374656
2024-03-01,2498,0.0013129001740050338
2024-03-01,2500,0.0005738305108351521
2024-03-01,2501,0.0007144271602135653
2024-03-01,2506,0.0005159751712653527
2024-03-01,2510,0.0005547874629092068
2024-03-01,2511,0.0008529385484182361
2024-03-01,2512,0.0002664866453081418
2024-03-01,2516,0.0006704918000934798
2024-03-01,2529,0.0003321376599138562
2024-03-01,2535,0.004643776541388175
2024-03-01,2537,0.0003186326978843221
2024-03-01,2539,0.0010070840692167128
2024-03-01,2544,0.00025853284523425066
2024-03-01,2545,0.004912124059450763
2024-03-01,2561,0.0006759135666710551
2024-03-01,2562,0.00028528320049483666
2024-03-01,2563,0.0024828112201481334
2024-03-01,2564,0.004912124059450763
2024-03-01,2572,0.004912124059450763
2024-03-01,2575,0.0034351223730816637
2024-03-01,2580,0.0003737167410357101
2024-03-01,2584,0.0003655450921792441
2024-03-01,2601,0.0007910534171449888
2024-03-01,2602,0.00031985195565683856
2024-03-01,2630,0.0007692145191256488
2024-03-01,2633,0.00034304231632689664
2024-03-01,2638,0.0014750819602056557
2024-03-01,2644,0.00047855712449420125
2024-03-01,2648,0.0007739627568980292
2024-03-01,2653,0.002585195187989293
2024-03-01,2655,0.00027051125483814616
2024-03-01,2656,0.0002749604531085104
2024-03-01,2659,0.0015106261038250691
2024-03-01,2667,0.0003759579208919962
2024-03-01,2668,0.0008923983389144536
2024-03-01,2693,0.00027617173263762274
2024-03-01,2697,0.0029158596887786216
2024-03-01,2701,0.0009644766662883134
2024-03-01,2716,0.0006013523578776054
2024-03-01,2723,0.0003325781607890735
2024-03-01,2727,0.0007622004049694876
2024-03-01,2730,0.0003551897071316735
2024-03-01,2731,0.002199683624868083
2024-03-01,2747,0.00025853284523425066
2024-03-01,2759,0.000284635565533441
2024-03-01,2766,0.0005511295235933219
2024-03-01,2788,0.0009607813533906569
2024-03-01,2790,0.00045759841831197347
2024-03-01,2795,0.00030693259881880226
2024-03-01,2796,0.00028990050084966643
2024-03-01,2805,0.00029397881973617995
2024-03-01,2816,0.0003742745272163604
2024-03-01,2820,0.000623790878693934
2024-03-01,2823,0.0005138605189241014
2024-03-01,2828,0.0006669253543483017
2024-03-01,2837,0.00025853284523425066
2024-03-01,2838,0.000354687317164019
2024-03-01,2847,0.003687704900514139
2024-03-01,2848,0.0003095851027592117
2024-03-01,2849,0.0004776455871142123
2024-03-01,2860,0.0006985067778132631
2024-03-01,2882,0.0017911709516782962
2024-03-01,2888,0.00029294852013430077
2024-03-01,2890,0.0006380761659922683
2024-03-01,2935,0.0005312795195655963
2024-03-01,2940,0.00034828324060411314
2024-03-01,2946,0.0006429844441922088
2024-03-01,2953,0.0005791314855310888
2024-03-01,2971,0.004912124059450763
2024-03-01,2976,0.00027526227577932106
2024-03-01,2991,0.004912124059450763
2024-03-01,3006,0.003134549165437018
2024-03-01,3035,0.0011095749258184136
2024-03-01,3038,0.0011346784309274275
2024-03-01,300001,0.0007463212298659568
2024-03-01,300002,0.0012729133666749312
2024-03-01,300029,0.0009391907611796308
2024-03-01,300033,0.000316621127821921
2024-03-01,300034,0.0004584349784917029
2024-03-01,300035,0.0006300601337561845
2024-03-01,300036,0.0003080638000429502
2024-03-01,300046,0.000566058540033773
2024-03-01,300050,0.00036290004809690513
2024-03-01,300051,0.0008471754501181131
2024-03-01,300052,0.004912124059450763
2024-03-01,300056,0.0006530310761327122
2024-03-01,300057,0.0004813127317369702
2024-03-01,300061,0.000710379414263347
2024-03-01,300065,0.0003235663654644664
2024-03-01,300068,0.0005335402834786414
2024-03-01,300071,0.0006633966487697393
2024-03-01,300080,0.001567274582718509
2024-03-01,300081,0.0003194445009362566
2024-03-01,300085,0.00030358829689462643
2024-03-01,300086,0.00223896368959787
2024-03-01,300091,0.0009427215535148927
2024-03-01,300095,0.0006965664812082263
2024-03-01,300096,0.00026340749289386706
2024-03-01,300101,0.00026620375078021384
2024-03-01,300102,0.00047136077675744633
2024-03-01,300115,0.00026762426172354474
2024-03-01,300119,0.0016717595548997432
2024-03-01,300121,0.0025588156452547085
2024-03-01,300123,0.0004878675743870845
2024-03-01,300131,0.00030176165250897887
2024-03-01,300139,0.0003073087417095116
2024-03-01,300143,0.0006946369341688682
2024-03-01,300148,0.0015771316555657953
2024-03-01,300167,0.0028495901503972896
2024-03-01,300168,0.00045927460299443484
2024-03-01,300169,0.001260120267512369
2024-03-01,300173,0.0009462789933394772
2024-03-01,300181,0.0009322079302414925
2024-03-01,300212,0.0002915859688778622
2024-03-01,300218,0.0003561987687996612
2024-03-01,300220,0.004912124059450763
2024-03-01,300226,0.0003731606149329784
2024-03-01,300242,0.0005858970402686015
2024-03-01,300249,0.0002659214562406803
2024-03-01,300250,0.0010235262581018835
2024-03-01,300252,0.0002625800348010068
2024-03-01,300254,0.00032066999134905557
2024-03-01,300255,0.00025853284523425066
2024-03-01,300256,0.0005191799859937091
2024-03-01,300257,0.000548717578194664
2024-03-01,300261,0.00027286608621867405
2024-03-01,300263,0.0007289649221946554
2024-03-01,300264,0.004912124059450763
2024-03-01,300270,0.00028757331793000167
2024-03-01,300283,0.0004749316917328816
2024-03-01,300285,0.00036822897685016365
2024-03-01,300290,0.00025853284523425066
2024-03-01,300301,0.004912124059450763
2024-03-01,300307,0.0005673392154637137
2024-03-01,300310,0.0006397039113136771
2024-03-01,300311,0.0008141686143992255
2024-03-01,300313,0.0005686256989454909
2024-03-01,300314,0.0008221768302785621
2024-03-01,300320,0.0005035420346083564
2024-03-01,300332,0.002022289784152915
2024-03-01,300337,0.0003393287323883105
2024-03-01,300338,0.0003182283416687328
2024-03-01,300339,0.0003587466856008032
2024-03-01,300340,0.0005886477305985012
2024-03-01,300344,0.0005117631290509417
2024-03-01,300345,0.0008011627259902922
2024-03-01,300348,0.0006071765937892529
2024-03-01,300380,0.0010902779705867888
2024-03-01,300384,0.0008414897088421525
2024-03-01,300397,0.0002777009227408211
2024-03-01,300400,0.00033169832438486967
2024-03-01,300405,0.004250236156524771
2024-03-01,300411,0.00025853284523425066
2024-03-01,300415,0.0010716407403203482
2024-03-01,300420,0.001199827431746227
2024-03-01,300421,0.00032995254373021244
2024-03-01,300424,0.0002833490771016514
2024-03-01,300428,0.00036661393747801385
2024-03-01,300434,0.0013267932975394787
2024-03-01,300444,0.0005831719377557244
2024-03-01,300445,0.00030212522076501384
2024-03-01,300448,0.000365013003253219
2024-03-01,300454,0.0003676890516641663
2024-03-01,300456,0.000470476422579665
2024-03-01,300465,0.0008063148978616125
2024-03-01,300467,0.0007375409801028279
2024-03-01,300468,0.0004888185833040184
2024-03-01,300469,0.00026203127819745186
2024-03-01,300472,0.0003473184670844341
2024-03-01,300473,0.0016497627186510622
2024-03-01,300479,0.0009990594949600058
2024-03-01,300481,0.000796075978523687
2024-03-01,300484,0.00025853284523425066
2024-03-01,300487,0.0008647032180515913
2024-03-01,300489,0.00029676205116563483
2024-03-01,300490,0.0007164683806713185
2024-03-01,300491,0.0007310901843584882
2024-03-01,300493,0.0003334626771741509
2024-03-01,300495,0.004912124059450763
2024-03-01,300502,0.00026791018508008705
2024-03-01,300507,0.0004758328903889212
2024-03-01,300516,0.0003541863463770642
2024-03-01,300522,0.00036931359828418475
2024-03-01,300529,0.0005999137158731135
2024-03-01,300534,0.0024346012935433153
2024-03-01,300542,0.0002713895381330752
2024-03-01,300547,0.0006269098330874037
2024-03-01,300565,0.0003444559522458262
2024-03-01,300566,0.00035071878774120487
2024-03-01,300575,0.0023656974833486926
2024-03-01,300579,0.0010030557329398456
2024-03-01,300587,0.0005015278664699228
2024-03-01,300588,0.00032440353587963967
2024-03-01,300593,0.000362375626062083
2024-03-01,300601,0.00046784315902045047
2024-03-01,300615,0.0005928225371984905
2024-03-01,300618,0.0006581730531101351
2024-03-01,300622,0.0008955854758391481
2024-03-01,300630,0.0005712162488267915
2024-03-01,300632,0.00046011730868800264
2024-03-01,300643,0.0003618527175107669
2024-03-01,300645,0.0005257105518552651
2024-03-01,300647,0.00046096311256426737
2024-03-01,300648,0.0002593215441933418
2024-03-01,300656,0.0018040570736328162
2024-03-01,300681,0.00026396203498417
2024-03-01,300698,0.00032694124280959776
2024-03-01,300702,0.0012992949908547226
2024-03-01,300706,0.0004946034186093914
2024-03-01,300712,0.0003046949371020188
2024-03-01,300713,0.00036715070751824517
2024-03-01,300716,0.001119481844798935
2024-03-01,300718,0.0005076192980464807
2024-03-01,300730,0.0003099677790296186
2024-03-01,300748,0.00031384722557567144
2024-03-01,300756,0.0005609931392281017
2024-03-01,300758,0.0008676952707092091
2024-03-01,300770,0.002343588161074406
2024-03-01,300772,0.001058075667658065
2024-03-01,300779,0.0003088225778755683
2024-03-01,300787,0.000486920258708663
2024-03-01,300790,0.00032108058032645514
2024-03-01,300803,0.0003219049207124024
2024-03-01,300806,0.00034540486671482296
2024-03-01,300807,0.00026451891691451626
2024-03-01,300810,0.000309203370203405
2024-03-01,300827,0.0007123975375993224
2024-03-01,300830,0.0005451389852933944
2024-03-01,300833,0.004912124059450763
2024-03-01,300834,0.0007787699789905635
2024-03-01,300835,0.001660688299569281
2024-03-01,300836,0.0003115079915962254
2024-03-01,300839,0.0008707081015102828
2024-03-01,300843,0.00025853284523425066
2024-03-01,300844,0.0003512099905251561
2024-03-01,300870,0.0006462987969973233
2024-03-01,300904,0.0003330198316533352
2024-03-01,300908,0.0012173006467716577
2024-03-01,300911,0.0008331027682224634
2024-03-01,300913,0.00025853284523425066
2024-03-01,300916,0.00031073597674716413
2024-03-01,300918,0.004912124059450763
2024-03-01,300940,0.0010762400568024096
2024-03-01,300959,0.0008860916368726553
2024-03-01,300960,0.00046351928509235025
2024-03-01,300966,0.0010277210378482028
2024-03-01,300971,0.0008358797774498716
2024-03-01,300973,0.0007553130519125346
2024-03-01,300984,0.0003273680590534745
2024-03-01,300988,0.00025853284523425066
2024-03-01,300991,0.0002786265924832905
2024-03-01,300992,0.0003343519109799486
2024-03-01,300993,0.0018171299509779817
2024-03-01,301003,0.000558494283374079
2024-03-01,301007,0.0003111215052542946
2024-03-01,301024,0.0003339067020438901
2024-03-01,301026,0.0002978193981412844
2024-03-01,301028,0.00037040462811663435
2024-03-01,301030,0.004912124059450763
2024-03-01,301047,0.0006413399826981111
2024-03-01,301049,0.00025853284523425066
2024-03-01,301050,0.0004985366465903807
2024-03-01,301055,0.0002882344060171971
2024-03-01,301059,0.0006777403600944904
2024-03-01,301062,0.00034974049265685
2024-03-01,301070,0.00028144100250837426
2024-03-01,301075,0.00035977608785503793
2024-03-01,301086,0.00031503006687809225
2024-03-01,301087,0.0009356863180409009
2024-03-01,301091,0.00025853284523425066
2024-03-01,301093,0.0011828487416743463
2024-03-01,301096,0.003174227002974196
2024-03-01,301099,0.0002770872190441563
2024-03-01,301101,0.00032822504350125845
2024-03-01,301102,0.0010152385960929614
2024-03-01,301103,0.000489773307099534
2024-03-01,301108,0.0021251180782623853
2024-03-01,301110,0.0008500472313049542
2024-03-01,301121,0.00028049656961405084
2024-03-01,301122,0.0011450407910272213
2024-03-01,301125,0.0006131147511857248
2024-03-01,301131,0.0003361446826205918
2024-03-01,301133,0.0019439064591857478
2024-03-01,301138,0.00025853284523425066
2024-03-01,301153,0.0003174227002974196
2024-03-01,301159,0.0005499209062170208
2024-03-01,301161,0.0005358203701601741
2024-03-01,301165,0.0002710961440377962
2024-03-01,301169,0.00032273350480690024
2024-03-01,301172,0.004912124059450763
2024-03-01,301177,0.0009151968366239469
2024-03-01,301182,0.00032779599115681236
2024-03-01,301183,0.00025853284523425066
2024-03-01,301188,0.0010670805669572828
2024-03-01,301196,0.0018438524502570695
2024-03-01,301200,0.00028112548568941866
2024-03-01,301217,0.000724751252124166
2024-03-01,301219,0.0005128096794170991
2024-03-01,301220,0.0032149222209610444
2024-03-01,301227,0.0017414162030205656
2024-03-01,301229,0.0002808106755150744
2024-03-01,301235,0.00033479830872491513
2024-03-01,301236,0.00025853284523425066
2024-03-01,301248,0.0002667701417393207
2024-03-01,301266,0.00028175722835388923
2024-03-01,301268,0.0003435122373081664
2024-03-01,301269,0.0003260909404875962
2024-03-01,301277,0.000504555197655858
2024-03-01,301282,0.0002943238652992506
2024-03-01,301285,0.004912124059450763
2024-03-01,301286,0.004912124059450763
2024-03-01,301301,0.004912124059450763
2024-03-01,301307,0.00025853284523425066
2024-03-01,301311,0.0007083726927541284
2024-03-01,301313,0.00026121243045308483
2024-03-01,301316,0.0004907317675830949
2024-03-01,301317,0.00031424051783829755
2024-03-01,301321,0.0003122838520983331
2024-03-01,301322,0.0008168206294298419
2024-03-01,301326,0.00031463479703257394
2024-03-01,301339,0.00033569468973890427
2024-03-01,301345,0.00033795678333552756
