rebalance_date,action,stkcd,weight_change,new_weight,old_weight,ref_price,ref_trade_notional,ref_trade_shares,market_volume,market_amount,source
2024-03-01,BUY,000619,0.0004144858400577875,0.0004144858400577875,0.0,,414.4858400577875,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000625,0.0004094105032407534,0.0004094105032407534,0.0,,409.4105032407534,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000627,0.0003939731865435372,0.0003939731865435372,0.0,,393.9731865435372,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000635,0.0004067541496106431,0.0004067541496106431,0.0,,406.7541496106431,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000651,0.00040315744893080623,0.00040315744893080623,0.0,,403.15744893080625,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000652,0.0004403229731957181,0.0004403229731957181,0.0,,440.32297319571813,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000665,0.00038168026367574044,0.00038168026367574044,0.0,,381.68026367574043,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000669,0.0004134607308078507,0.0004134607308078507,0.0,,413.46073080785067,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000676,0.00039930562617032075,0.00039930562617032075,0.0,,399.30562617032075,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000678,0.00039181864567962727,0.00039181864567962727,0.0,,391.81864567962725,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000680,0.00042719579767455104,0.00042719579767455104,0.0,,427.19579767455105,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000703,0.0004301268151543078,0.0004301268151543078,0.0,,430.1268151543078,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000709,0.00040315744893080623,0.00040315744893080623,0.0,,403.15744893080625,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000717,0.0003970925308550459,0.0003970925308550459,0.0,,397.0925308550459,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000722,0.00042430445555831044,0.00042430445555831044,0.0,,424.30445555831045,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000723,0.0003939731865435372,0.0003939731865435372,0.0,,393.9731865435372,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000725,0.00041586058579595595,0.00041586058579595595,0.0,,415.86058579595596,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000727,0.0004002616651795075,0.0004002616651795075,0.0,,400.26166517950753,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000731,0.0003939731865435372,0.0003939731865435372,0.0,,393.9731865435372,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000733,0.0003869813784490146,0.0003869813784490146,0.0,,386.9813784490146,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000738,0.000427924800742255,0.000427924800742255,0.0,,427.924800742255,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000758,0.0004094105032407534,0.0004094105032407534,0.0,,409.4105032407534,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000761,0.0003896875419346721,0.0003896875419346721,0.0,,389.6875419346721,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000768,0.0003986708000555826,0.0003986708000555826,0.0,,398.6708000555826,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000777,0.0004403229731957181,0.0004403229731957181,0.0,,440.32297319571813,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000782,0.0004067541496106431,0.0004067541496106431,0.0,,406.7541496106431,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000785,0.0004353540507551414,0.0004353540507551414,0.0,,435.35405075514143,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000789,0.0004454066309679599,0.0004454066309679599,0.0,,445.4066309679599,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000791,0.0004232302670632261,0.0004232302670632261,0.0,,423.2302670632261,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000795,0.0003846072595628244,0.0003846072595628244,0.0,,384.60725956282437,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000799,0.0003939731865435372,0.0003939731865435372,0.0,,393.9731865435372,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000800,0.00043422326101292023,0.00043422326101292023,0.0,,434.2232610129202,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000801,0.00043309833028490753,0.00043309833028490753,0.0,,433.09833028490755,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000807,0.0003834310905733356,0.0003834310905733356,0.0,,383.4310905733356,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000810,0.00041968859118821994,0.00041968859118821994,0.0,,419.68859118821996,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000811,0.00043422326101292023,0.00043422326101292023,0.0,,434.2232610129202,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000823,0.000396151553293778,0.000396151553293778,0.0,,396.151553293778,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000829,0.00042865629612813923,0.00042865629612813923,0.0,,428.6562961281392,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000831,0.00041244067966276555,0.00041244067966276555,0.0,,412.44067966276555,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000839,0.0003840182744792672,0.0003840182744792672,0.0,,384.0182744792672,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000856,0.0004461991694572268,0.0004461991694572268,0.0,,446.1991694572268,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000858,0.0003799453533863052,0.0003799453533863052,0.0,,379.9453533863052,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000860,0.0004012222931759383,0.0004012222931759383,0.0,,401.2222931759383,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000875,0.0004446169028988678,0.0004446169028988678,0.0,,444.6169028988678,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000876,0.000382845699595361,0.000382845699595361,0.0,,382.845699595361,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000878,0.00044148579794887584,0.00044148579794887584,0.0,,441.48579794887587,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000885,0.00042538411066151224,0.00042538411066151224,0.0,,425.38411066151224,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000887,0.00043916625785457347,0.00043916625785457347,0.0,,439.1662578545735,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000890,0.0004134607308078507,0.0004134607308078507,0.0,,413.46073080785067,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000895,0.00042538411066151224,0.00042538411066151224,0.0,,425.38411066151224,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000900,0.00038549413256719665,0.00038549413256719665,0.0,,385.49413256719663,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000901,0.00043235160902579565,0.00043235160902579565,0.0,,432.35160902579565,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000902,0.0004210981246598849,0.0004210981246598849,0.0,,421.0981246598849,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000910,0.0004301268151543078,0.0004301268151543078,0.0,,430.1268151543078,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000915,0.0003912073841419056,0.0003912073841419056,0.0,,391.2073841419056,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000923,0.00040315744893080623,0.00040315744893080623,0.0,,403.15744893080625,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000927,0.0003811002024847438,0.0003811002024847438,0.0,,381.1002024847438,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000928,0.00040543885729177277,0.00040543885729177277,0.0,,405.43885729177276,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000929,0.00043839848467650607,0.00043839848467650607,0.0,,438.3984846765061,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000930,0.00040315744893080623,0.00040315744893080623,0.0,,403.15744893080625,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000932,0.0003869813784490146,0.0003869813784490146,0.0,,386.9813784490146,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000935,0.0003970925308550459,0.0003970925308550459,0.0,,397.0925308550459,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000950,0.0004301268151543078,0.0004301268151543078,0.0,,430.1268151543078,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000958,0.0004232302670632261,0.0004232302670632261,0.0,,423.2302670632261,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000959,0.0004094105032407534,0.0004094105032407534,0.0,,409.4105032407534,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000961,0.0004473932796341864,0.0004473932796341864,0.0,,447.3932796341864,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000963,0.0003787974822280385,0.0003787974822280385,0.0,,378.79748222803846,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000966,0.0003869813784490146,0.0003869813784490146,0.0,,386.9813784490146,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000970,0.0003980379892618435,0.0003980379892618435,0.0,,398.0379892618435,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000978,0.00038817946321201464,0.00038817946321201464,0.0,,388.17946321201464,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000988,0.0004221615037625614,0.0004221615037625614,0.0,,422.1615037625614,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,000997,0.00040543885729177277,0.00040543885729177277,0.0,,405.43885729177276,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001203,0.002786265924832905,0.002786265924832905,0.0,,2786.265924832905,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001222,0.0007507902192663516,0.0007507902192663516,0.0,,750.7902192663516,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001226,0.0002932911499824111,0.0002932911499824111,0.0,,293.29114998241107,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001228,0.0005369677371198318,0.0005369677371198318,0.0,,536.9677371198318,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001230,0.0004995297474800029,0.0004995297474800029,0.0,,499.52974748000287,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001236,0.0015197814135452209,0.0015197814135452209,0.0,,1519.7814135452209,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001255,0.0002950163920411311,0.0002950163920411311,0.0,,295.0163920411311,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001287,0.0007268519803911926,0.0007268519803911926,0.0,,726.8519803911927,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001296,0.0005942273299406669,0.0005942273299406669,0.0,,594.2273299406669,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001301,0.0014926424597319135,0.0014926424597319135,0.0,,1492.6424597319135,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001322,0.0007598907067726104,0.0007598907067726104,0.0,,759.8907067726104,,,,CSMAR_TRD_Dalyr
2024-03-01,BUY,001323,0.0015384290382512975,0.0015384290382512975,0.0,,1538.4290382512975,,,,CSMAR_TRD_Dalyr
