rebalance_date,action,stkcd,weight_change,new_weight,old_weight,close_price,trade_volume,trade_amount,ref_trade_notional,ref_trade_shares
2025-12-01,BUY,603826,0.004864416083512101,0.004864416083512101,0.0,17.76,5441800.0,96455996.6,4864.416083512101,273.8973019995552
2025-12-01,BUY,300903,0.004864416083512101,0.004864416083512101,0.0,20.28,40478149.0,796448222.37,4864.416083512101,239.8627260114448
2025-12-01,BUY,605218,0.004864416083512101,0.004864416083512101,0.0,19.89,1943600.0,38578531.0,4864.416083512101,244.56591671755157
2025-12-01,BUY,301121,0.004864416083512101,0.004864416083512101,0.0,45.36,4811096.0,216141545.0,4864.416083512101,107.24021348130735
2025-12-01,BUY,002024,0.004864416083512101,0.004864416083512101,0.0,1.71,20904401.0,35787509.71,4864.416083512101,2844.687768135732
2025-12-01,BUY,001330,0.004864416083512101,0.004864416083512101,0.0,7.11,110268108.0,804719829.56,4864.416083512101,684.1654125896063
2025-12-01,BUY,300061,0.004864416083512101,0.004864416083512101,0.0,11.11,6643270.0,73617036.9,4864.416083512101,437.84123163925307
2025-12-01,BUY,301299,0.004864416083512101,0.004864416083512101,0.0,56.99,763500.0,43341233.0,4864.416083512101,85.35560771209161
2025-12-01,BUY,301012,0.004864416083512101,0.004864416083512101,0.0,25.48,7550421.0,192853896.61,4864.416083512101,190.91114927441527
2025-12-01,BUY,603970,0.004864416083512101,0.004864416083512101,0.0,13.11,2385025.0,31351717.0,4864.416083512101,371.0462306263998
