date,strategy_ret,bench_ret,strategy_nav,bench_nav,segment
2024-03-01,0.007809417344500402,0.0116156278659612,1.0078094173445005,1.0116156278659612,mainline_2024_2025
2024-03-04,0.00015433849960715996,0.0020161512835586907,1.0079649611378634,1.013655198012551,mainline_2024_2025
2024-03-05,-0.013530157291394649,-0.015256255339996078,0.9943270366694537,0.9981906154849572,mainline_2024_2025
2024-03-06,0.007829957299488809,0.010004256616349735,1.0021125749083029,1.0081767705543008,mainline_2024_2025
2024-03-07,-0.00692994030734816,-0.008066457557341698,0.9951679945829454,1.0000443554243268,mainline_2024_2025
2024-03-08,0.008834743908884547,0.010647722407371104,1.0039600489614038,1.0106925501159434,mainline_2024_2025
2024-03-11,0.018693721994617864,0.01950490411764706,1.0227277990103913,1.030406011398375,mainline_2024_2025
2024-03-12,0.007986628896400536,0.012256974715797727,1.03089594640312,1.0430356718270908,mainline_2024_2025
2024-03-13,0.000963346958034943,0.0021360160658307216,1.0318890568771382,1.045263612779348,mainline_2024_2025
2024-03-14,-0.00333780998265481,-0.0054076722178683385,1.0284448072821015,1.0396111697801724,mainline_2024_2025
2024-03-15,0.011259080122782393,0.014083417009602195,1.04002414976915,1.054252447412027,mainline_2024_2025
2024-03-18,0.01359544107448053,0.019948086240689927,1.0541637368133732,1.0752827661524607,mainline_2024_2025
2024-03-19,-0.004289607073495327,-0.002697287225705329,1.0496417885913163,1.0723824196832965,mainline_2024_2025
2024-03-20,0.008323371402689659,0.011834889128305583,1.0583783470375452,1.0850739467233923,mainline_2024_2025
2024-03-21,-0.0024316079446214164,0.0010524807051909893,1.0558047858404735,1.0862159661160242,mainline_2024_2025
2024-03-22,-0.013187654263025535,-0.014089888148873653,1.0418811973555617,1.0709113046479286,mainline_2024_2025
2024-03-25,-0.019169204330618705,-0.024320694809010775,1.0219091637952233,1.0448659976400667,mainline_2024_2025
2024-03-26,-0.00031160914865589273,-0.00011648707403055213,1.0215907275506895,1.0447442842572476,mainline_2024_2025
2024-03-27,-0.02729959396760568,-0.03223554502740798,0.9937017154874848,1.011066382839946,mainline_2024_2025
2024-03-28,0.01575317974229601,0.023400228420434526,1.009355677221787,1.0347255671466231,mainline_2024_2025
2024-03-29,0.010867542815675875,0.01244803563038371,1.0203248932602405,1.0476058678741333,mainline_2024_2025
2024-04-01,0.022826075049555722,0.022342505088062622,1.0436149058487285,1.0710120073073954,mainline_2024_2025
2024-04-02,0.0018573677766728373,-0.0011011436118176477,1.0455532825461074,1.0698326692773688,mainline_2024_2025
2024-04-03,-0.006935273360451464,-0.007976184735812132,1.0383020847187328,1.0612994862708054,mainline_2024_2025
2024-04-08,-0.02490043697357444,-0.02384194327073552,1.012447909098663,1.0359960441258762,mainline_2024_2025
2024-04-09,0.017659226860168253,0.014278544103266183,1.0303269564095392,1.0507885593327368,mainline_2024_2025
2024-04-10,-0.021787139512448192,-0.02102009368276941,1.0078790792668084,1.0287008853747805,mainline_2024_2025
2024-04-11,0.0030949430033509104,0.0023881779429018378,1.010998407571409,1.0311576061390761,mainline_2024_2025
2024-04-12,-0.005266138182463851,-0.007296706100899492,1.005674350254887,1.0236335521433721,mainline_2024_2025
2024-04-15,-0.03697446585757791,-0.03334942002346499,0.9684900783275459,0.9894959668628314,mainline_2024_2025
2024-04-16,-0.06717125430006127,-0.0640423175596402,0.90343538498912,0.9261263519290187,mainline_2024_2025
2024-04-17,0.06544130566491933,0.05919576784666536,0.962557376166697,0.9809491124544879,mainline_2024_2025
2024-04-18,-0.0010551695381775471,-0.00183956279342723,0.9615417149446178,0.9791445949649712,mainline_2024_2025
2024-04-19,-0.004710717491252156,-0.006226213894324853,0.9570121635694596,0.9730482312832472,mainline_2024_2025
2024-04-22,0.0005921082248836352,-0.006424978860833823,0.9575788183428228,0.9667964169666806,mainline_2024_2025
2024-04-23,0.007099249988763134,0.006512721417384495,0.9643769097581829,0.9730928926977102,mainline_2024_2025
2024-04-24,0.021276995365790863,0.01885633039733803,0.9848959527979836,0.9914418537897197,mainline_2024_2025
2024-04-25,0.007599866655443706,0.004283083822953389,0.9923810307087345,0.9956882823550853,mainline_2024_2025
2024-04-26,0.014520537055158548,0.014317499901903077,1.0067909362379772,1.0099440492400305,mainline_2024_2025
2024-04-29,0.03068770511377731,0.028007159394654087,1.037687039600472,1.0382297132067784,mainline_2024_2025
2024-04-30,0.0020038467027602637,-0.006196634402216943,1.0397664053532725,1.0317961832485174,mainline_2024_2025
2024-05-06,0.023250765460443534,0.021480631258590222,1.0639417701777898,1.0539598165948996,mainline_2024_2025
2024-05-07,0.006683256148715577,0.006521990771647359,1.0710523655552058,1.0608337327924187,mainline_2024_2025
2024-05-08,-0.01269124711966885,-0.013158019249656256,1.0574593753058388,1.0468752621156514,mainline_2024_2025
2024-05-09,0.014871679726805,0.013764826001571093,1.0731855724594943,1.0612853179440225,mainline_2024_2025
2024-05-10,-0.01022912070431119,-0.010746697172034565,1.0622078277006808,1.0498800060189517,mainline_2024_2025
2024-05-13,-0.015088198316712933,-0.016067523276370062,1.0461810253427681,1.0330110345848467,mainline_2024_2025
2024-05-14,0.00924444260878709,0.00838009736945426,1.0558523857899513,1.0416677676383885,mainline_2024_2025
2024-05-15,-0.007843931179988602,-0.006867925220804711,1.0475703523395883,1.0345136713053256,mainline_2024_2025
2024-05-16,0.0047701741474372936,0.005031604829210836,1.0525674453519405,1.0397189352897502,mainline_2024_2025
2024-05-17,0.013336611854839208,0.013341724577934828,1.066605128821639,1.0535905789628497,mainline_2024_2025
2024-05-20,0.0022706809914102037,0.003438572495088408,1.0690270488129947,1.0572134265487556,mainline_2024_2025
2024-05-21,-0.008828314920050446,-0.009968236795601807,1.0595893413680215,1.0466748727694282,mainline_2024_2025
2024-05-22,0.004603428714378517,0.004961604829210836,1.0644670853675247,1.0518680598727748,mainline_2024_2025
2024-05-23,-0.019515030188269975,-0.020863304672163328,1.0436939780621577,1.0299226160647317,mainline_2024_2025
2024-05-24,-0.007976407770563663,-0.009701134079308992,1.0353690493054521,1.019931198674975,mainline_2024_2025
2024-05-27,0.006419223496610444,0.006027424980361351,1.0420153146344169,1.0260787574601185,mainline_2024_2025
2024-05-28,-0.010197353896587434,-0.010210922034564023,1.0313895157054258,1.0156015472663709,mainline_2024_2025
2024-05-29,0.0038630548778889502,0.0022755170856245087,1.035373830005075,1.0179125659393622,mainline_2024_2025
2024-05-30,-0.004727097938076545,-0.006183429104477612,1.0304795165081195,1.0116183757533193,mainline_2024_2025
2024-05-31,0.007688195372914519,0.006881602239245729,1.0384020443588204,1.0185799310331654,mainline_2024_2025
2024-06-03,-0.012844232980640358,-0.018720850324101358,1.0250645665735025,0.99951124860116,mainline_2024_2025
2024-06-04,-0.005007990626221245,-0.00747022416502947,1.019931052832831,0.9920446755186408,mainline_2024_2025
2024-06-05,-0.018143265499058796,-0.01725947124631992,1.0014261729505503,0.9749225089664622,mainline_2024_2025
2024-06-06,-0.0319121453485451,-0.03590948695310967,0.969468515363515,0.939913541850438,mainline_2024_2025
2024-06-07,0.019568369711237616,0.01886381213191991,0.9884394336955529,0.9576438943241522,mainline_2024_2025
2024-06-11,0.008842218746404683,0.006294027483313703,0.9971794313858614,0.963671331314256,mainline_2024_2025
2024-06-12,0.012494777606969841,0.013520285406041584,1.0096389666152725,0.9767004427512449,mainline_2024_2025
2024-06-13,1.8414213474215535e-05,-0.0031240282408315358,1.0096575583227356,0.9736492029852573,mainline_2024_2025
2024-06-14,0.0025173194282618857,0.000596333137254902,1.012199188910193,0.9742298222690592,mainline_2024_2025
2024-06-17,-0.0012919506159151343,-0.004428906844479309,1.0108914775446516,0.9699150491411159,mainline_2024_2025
2024-06-18,0.012563344084556992,0.012890579164214244,1.0235916550091912,0.9824178158646322,mainline_2024_2025
2024-06-19,-0.004145069333751411,-0.005703343406593406,1.0193487966297288,0.9768147496920008,mainline_2024_2025
2024-06-20,-0.014016290578601164,-0.018957053189401375,1.005061307695219,0.9582972205258977,mainline_2024_2025
2024-06-21,0.0005259584029444727,-0.0017440102060843966,1.0055899281354757,0.9566259403928382,mainline_2024_2025
2024-06-24,-0.03283339114832812,-0.036320782839191046,0.9725730006901845,0.9218805373534931,mainline_2024_2025
2024-06-25,-0.0011648825827977258,-0.00028267944182389933,0.9714400673411813,0.9216199406777656,mainline_2024_2025
2024-06-26,0.027282350855107912,0.02845929499509323,0.997943236093093,0.9478485944428745,mainline_2024_2025
2024-06-27,-0.014450483942380138,-0.01826754725879348,0.9835224733845229,0.9305337254497084,mainline_2024_2025
2024-06-28,0.011790852257509254,0.004599650353773585,0.9951190415601399,0.9348138552291713,mainline_2024_2025
2024-07-01,0.0026291893795892425,0.008190643924498623,0.9977353979756369,0.9424705826530412,mainline_2024_2025
2024-07-02,-0.0007935709605931355,0.00034548368069209595,0.9969436241374476,0.9427961908588802,mainline_2024_2025
2024-07-03,-0.011903583624354664,-0.007993849754178956,0.9850764223387604,0.9352596197603421,mainline_2024_2025
2024-07-04,-0.026401797342801098,-0.026373841918993314,0.9590686342690008,0.9105932303955651,mainline_2024_2025
2024-07-05,0.01044228132734475,0.011237968928220255,0.9690834987602701,0.9208264488249981,mainline_2024_2025
2024-07-08,-0.026278887678932564,-0.02649997875688434,0.943617062344842,0.8964245674923583,mainline_2024_2025
2024-07-09,0.024239153859012832,0.017626413163064833,0.9664895415030083,0.9122253172885003,mainline_2024_2025
2024-07-10,-0.0057456257801270835,-0.007141367242733701,0.9609364542771254,0.9057107812896238,mainline_2024_2025
2024-07-11,0.027278615791267793,0.030763179890023563,0.9871494706131744,0.9335733249827703,mainline_2024_2025
2024-07-12,-0.004909247882595617,-0.002522808719560094,0.9823033091647613,0.931218098058155,mainline_2024_2025
2024-07-15,-0.015832186343212304,-0.014631087178480266,0.9667513001285107,0.9175933648832876,mainline_2024_2025
2024-07-16,0.00259312452461407,0.0013184724131160414,0.9692582066340765,0.9188031864213446,mainline_2024_2025
2024-07-17,-0.016269266173036655,-0.010732732220039294,0.9534890868799465,0.9089419178585655,mainline_2024_2025
2024-07-18,-0.004174618203064377,-0.00023397247886770213,0.9495086339814341,0.9087292504648974,mainline_2024_2025
2024-07-19,0.009175725430399698,0.006607200550530868,0.9582210645006417,0.9147334068688525,mainline_2024_2025
2024-07-22,0.006268969374822521,0.005217067256637169,0.9642281230083061,0.9195056325743802,mainline_2024_2025
2024-07-23,-0.021540192794410017,-0.020102037364798427,0.9434584633409151,0.9010216959912274,mainline_2024_2025
2024-07-24,-0.012536084788432711,-0.015348579744346115,0.9316311880501089,0.8871922926389201,mainline_2024_2025
2024-07-25,0.0032275092887208722,0.004926622073578596,0.9346380363632026,0.8915631537713438,mainline_2024_2025
2024-07-26,0.016282882350189636,0.01637348062930187,0.949856637549317,0.9061611457994182,mainline_2024_2025
2024-07-29,0.0022595832299077603,0.0012500714145189848,0.95200291767834,0.9072939119447297,mainline_2024_2025
2024-07-30,0.004754862020653904,0.005618619197482298,0.9565295601951604,0.9123916509361413,mainline_2024_2025
2024-07-31,0.03104948638838992,0.03385016974822974,0.9862293117545327,0.9432762631971974,mainline_2024_2025
2024-08-01,0.0009617997301306011,0.0011381925649095199,0.987177866840425,0.944349893226624,mainline_2024_2025
2024-08-02,-0.014643765263922906,-0.012545118560755015,0.9727218658846737,0.9325029118532596,mainline_2024_2025
2024-08-05,-0.02649317081488318,-0.024593043863099923,0.946951379336419,0.909569826839584,mainline_2024_2025
2024-08-06,0.018688791221567677,0.019168574237954768,0.9646487559618129,0.9270049835899623,mainline_2024_2025
2024-08-07,0.001565781028093337,0.0002873659064097523,0.9661591846826717,0.927271373217318,mainline_2024_2025
2024-08-08,-0.004106129830624873,-0.002029141930410851,0.962192009633314,0.9253898079930531,mainline_2024_2025
2024-08-09,-0.006771439586895776,-0.0072956754472184,0.9556765845690882,0.9186384642917721,mainline_2024_2025
2024-08-12,-0.005772569074094504,-0.007097555817610063,0.9501598754721684,0.9121183765152576,mainline_2024_2025
2024-08-13,0.007837945655767854,0.006926592177672957,0.9576071769404103,0.9184362485271399,mainline_2024_2025
2024-08-14,-0.004122376425497343,-0.004962465513853409,0.953659559689304,0.9138785403171511,mainline_2024_2025
2024-08-15,0.008094807741209385,0.008421796620161133,0.9613792504755553,0.9215750395192319,mainline_2024_2025
2024-08-16,-0.003308614838649547,-0.003949767341324425,0.9581984168218621,0.9179350325255591,mainline_2024_2025
2024-08-19,-0.004796110369719105,-0.003863875,0.9536027914586944,0.9143882463017594,mainline_2024_2025
2024-08-20,-0.017025108173356816,-0.016994026331302807,0.9373676007796952,0.8988491083670735,mainline_2024_2025
2024-08-21,-0.0022244708240275112,-0.002181883497053045,0.935282453900372,0.8968879243311866,mainline_2024_2025
2024-08-22,-0.013438028190761075,-0.014763468854391825,0.9227141019185345,0.8836467473944429,mainline_2024_2025
2024-08-23,-0.005990437750792731,-0.004637845291920581,0.9171866405292128,0.8795485304873187,mainline_2024_2025
2024-08-26,0.014097519205161684,0.011044308705050108,0.9301166968087913,0.8892625359790938,mainline_2024_2025
2024-08-27,-0.01502980587803561,-0.013279233883647799,0.9161372234118355,0.8774538107798616,mainline_2024_2025
2024-08-28,0.007073866076060448,0.005147383254716981,0.9226178554375447,0.8819704018322576,mainline_2024_2025
2024-08-29,0.01544701864139413,0.014588641832121094,0.9368695506493716,0.8948371521311203,mainline_2024_2025
2024-08-30,0.017347383258118878,0.01945083880479654,0.9531217858073477,0.9122424853337658,mainline_2024_2025
2024-09-02,-0.015156843433913384,-0.01633998702064897,0.9386754681264138,0.8973364549637275,mainline_2024_2025
2024-09-03,0.009427731830723613,0.009958907786079434,0.9475250487159886,0.9062729459717985,mainline_2024_2025
2024-09-04,-0.011346776073984552,-0.006012761108926464,0.9367736941637169,0.900823743248187,mainline_2024_2025
2024-09-05,0.006464919681339415,0.009039222965001967,0.9428298608560769,0.9089664899155752,mainline_2024_2025
2024-09-06,-0.021926269395126624,-0.01827246519858435,0.9221571193331768,0.8923574313619134,mainline_2024_2025
2024-09-09,-0.005175523664910416,-0.0024507806845003935,0.9173844733393024,0.8901704590054612,mainline_2024_2025
2024-09-10,0.006002520417387603,0.005356194335169158,0.922891092371116,0.8949383849753212,mainline_2024_2025
